Distance_(pixels),Gray_value
-0.0,694.096
-0.0,621.837
-0.0,434.667
-0.0,617.163
-0.0,500.246
-0.0,322.389
-0.0,222.357
-0.0,120.861
-0.0,63.663
-0.0,297.006
-0.0,188.089
-0.0,24.213
-0.0,691.523
-0.0,461.816
-0.0,401.864
-0.0,750.181
-0.0,568.566
-0.0,412.64
-0.0,266.213
-0.0,158.557
-0.0,8.099
-0.0,301.8
-0.0,120.757
-0.0,64.872
-0.0,728.347
-0.0,613.7
-0.0,558.892
-0.0,788.634
-0.0,799.256
-0.0,582.66
-0.0,446.398
-0.0,339.127
-0.0,45.37
-0.0,396.758
-0.0,348.862
-0.0,121.285
-0.0,6.868
-0.0,777.878
-0.0,625.948
-0.0,583.0
-0.0,858.391
-0.0,583.41
-0.0,539.792
-0.0,424.047
-0.0,287.675
-0.0,177.127
-0.0,117.477
-0.0,403.518
-0.0,259.338
-0.0,85.154
-0.0,831.125
-0.0,780.74
-0.0,601.991
-0.0,522.045
-0.0,817.453
-0.0,753.797
-0.0,569.883
-0.0,502.736
-0.0,344.48
-0.0,362.561
-0.0,167.599
-0.0,491.679
-0.0,290.01
-0.0,185.823
-0.0,64.424
-0.0,882.513
-0.0,712.243
-0.0,663.53
-0.0,496.247
-0.0,875.548
-0.0,714.674
-0.0,728.194
-0.0,511.004
-0.0,456.248
-0.0,374.901
-0.0,240.781
-0.0,90.852
-0.0,471.067
-0.0,381.637
-0.0,142.168
-0.0,203.704
-0.0,893.593
-0.0,818.904
-0.0,698.445
-0.0,723.334
-0.0,464.787
-0.0,800.756
-0.0,642.533
-0.0,519.56
-0.0,524.151
-0.0,460.197
-0.0,328.636
-0.0,78.261
-0.0,46.215
-0.0,67.874
-0.0,341.027
-0.0,226.244
-0.0,200.571
-0.0,41.085
-0.0,865.521
-0.0,865.128
-0.0,692.018
-0.0,646.381
-0.0,630.221
-0.0,889.748
-0.0,748.938
-0.0,660.969
-0.0,720.251
-0.0,503.812
-0.0,403.453
-0.0,415.637
-0.0,254.521
-0.0,178.082
-0.0,8.671
-0.0,512.198
-0.0,407.635
-0.0,214.089
-0.0,60.419
-0.0,80.642
-0.0,989.996
-0.0,818.07
-0.0,635.578
-0.0,635.686
-0.0,579.145
-0.0,490.669
-0.0,971.588
-0.0,822.736
-0.0,746.892
-0.0,690.474
-0.0,627.933
-0.0,462.052
-0.0,366.053
-0.0,231.28
-0.0,206.421
-0.0,132.96
-0.0,67.778
-0.0,24.346
-0.0,454.716
-0.0,346.973
-0.0,300.857
-0.0,176.355
-0.0,158.946
-0.0,123.626
-0.0,846.567
-0.0,776.346
-0.0,799.267
-0.0,841.476
-0.0,698.384
-0.0,555.65
-0.0,604.166
-0.0,1000.0
-0.0,846.741
-0.0,790.555
-0.0,729.289
-0.0,627.132
-0.0,618.111
-0.0,614.239
-0.0,496.011
-0.0,425.67
-0.0,465.711
-0.0,388.251
-0.0,508.561
-0.0,203.14
-0.0,49.078
-0.0,52.852
-0.0,17.465
-0.0,510.284
-0.0,466.229
-0.0,415.39
-0.0,289.86
-0.0,278.575
-0.0,169.812
-0.0,305.104
-0.0,72.16
-0.0,1.585
-0.0,862.039
-0.0,817.335
-0.0,752.411
-0.0,607.804
-0.0,625.412
-0.0,676.219
-0.0,562.775
-0.0,515.029
-0.0,546.312
-0.0,449.674
-0.0,874.443
-0.0,915.651
-0.0,930.971
-0.0,723.838
-0.0,692.954
-0.0,726.819
-0.0,777.218
-0.0,649.26
-0.0,702.593
-0.0,565.132
-0.0,492.303
-0.0,524.258
-0.0,421.372
-0.0,536.794
-0.0,377.679
-0.0,291.769
-0.0,327.972
-0.0,332.415
-0.0,93.74
-0.0,160.06
-0.0,184.576
-0.0,148.695
-0.0,37.902
-0.0,121.104
-0.0,108.194
-0.0,44.221
-0.0,29.982
-0.0,334.221
-0.0,408.403
-0.0,440.582
-0.0,337.125
-0.0,378.534
-0.0,286.663
-0.0,343.323
-0.0,320.764
-0.0,276.882
-0.0,361.404
-0.0,235.076
-0.0,324.913
-0.0,194.124
-0.0,168.474
-0.0,146.437
-0.0,158.299
-0.0,152.58
-0.0,103.896
-0.0,127.314
-0.0,114.448
-0.0,46.739
-0.0,165.861
-0.0,2.128
-0.0,174.332
-0.0,86.186
-0.0,77.058
-0.0,154.207
-0.0,48.344
-0.0,136.236
-0.0,90.827
-0.0,112.36
-0.0,5.456
-0.0,62.808
-0.0,20.412
-0.0,116.384
-0.0,154.784
-0.0,59.469
-0.0,9.468
0.0,3.611
0.0,55.239
0.0,6.467
0.0,72.458
0.0,89.757
0.0,50.069
0.0,173.31
0.0,94.455
0.0,30.258
0.0,7.839
0.0,278.28
0.0,4.646
0.0,46.026
0.0,6.063
0.0,7.547
0.0,101.276
0.0,182.004
0.0,266.281
0.0,170.248
0.0,121.26
0.0,169.969
0.0,146.605
0.0,97.734
0.0,183.722
0.0,208.686
0.0,308.72
0.0,268.333
0.0,218.187
0.0,259.224
0.0,314.363
0.0,206.336
0.0,280.956
0.0,383.244
0.0,126.878
0.0,404.119
0.0,287.839
0.0,359.691
0.0,515.251
0.0,17.497
0.0,19.614
0.0,59.972
0.0,58.898
0.0,96.188
0.0,85.321
0.0,173.016
0.0,203.086
0.0,187.647
0.0,310.014
0.0,291.252
0.0,370.162
0.0,341.806
0.0,312.886
0.0,412.602
0.0,497.555
0.0,391.715
0.0,489.469
0.0,588.381
0.0,644.834
0.0,740.803
0.0,675.83
0.0,671.125
0.0,777.857
0.0,737.333
0.0,874.088
0.0,832.541
0.0,407.369
0.0,426.486
0.0,504.674
0.0,562.751
0.0,642.252
0.0,635.797
0.0,701.097
0.0,667.442
0.0,823.528
0.0,779.69
0.0,18.981
0.0,82.888
0.0,85.246
0.0,126.603
0.0,145.518
0.0,320.88
0.0,330.702
0.0,275.141
0.0,375.405
0.0,125.772
0.0,38.832
0.0,93.758
0.0,202.974
0.0,265.745
0.0,357.102
0.0,286.676
0.0,308.797
0.0,443.209
0.0,431.926
0.0,456.362
0.0,456.981
0.0,622.166
0.0,766.239
0.0,755.903
0.0,766.756
0.0,434.567
0.0,487.995
0.0,579.63
0.0,653.687
0.0,670.695
0.0,674.734
0.0,826.137
0.0,38.974
0.0,103.002
0.0,119.515
0.0,187.836
0.0,367.492
0.0,266.122
0.0,70.227
0.0,126.08
0.0,156.304
0.0,163.956
0.0,385.742
0.0,423.338
0.0,475.809
0.0,525.67
0.0,501.762
0.0,753.594
0.0,732.785
0.0,733.708
0.0,469.649
0.0,440.065
0.0,709.775
0.0,576.675
0.0,722.603
0.0,709.129
0.0,125.588
0.0,201.947
0.0,241.51
0.0,342.111
0.0,391.273
0.0,76.932
0.0,112.931
0.0,63.799
0.0,341.594
0.0,299.555
0.0,421.566
0.0,414.263
0.0,578.26
0.0,625.537
0.0,661.488
0.0,439.008
0.0,561.335
0.0,509.488
0.0,612.362
0.0,718.79
0.0,134.942
0.0,128.433
0.0,266.438
0.0,254.687
0.0,26.778
0.0,24.72
0.0,74.539
0.0,297.293
0.0,324.748
0.0,441.008
0.0,486.76
0.0,541.762
0.0,576.664
0.0,355.15
0.0,492.609
0.0,528.407
0.0,549.452
0.0,731.074
0.0,101.857
0.0,173.18
0.0,286.727
0.0,354.397
0.0,30.676
0.0,58.759
0.0,234.304
0.0,424.009
0.0,398.627
0.0,464.507
0.0,503.73
0.0,624.251
0.0,360.41
0.0,577.105
0.0,575.315
0.0,666.059
0.0,119.922
0.0,174.795
0.0,204.367
0.0,271.135
0.0,107.1
0.0,214.354
0.0,162.582
0.0,415.234
0.0,491.968
0.0,470.695
0.0,622.846
0.0,341.037
0.0,477.91
0.0,538.463
0.0,581.898
0.0,124.262
0.0,197.396
0.0,267.228
0.0,41.517
0.0,97.966
0.0,141.087
0.0,330.345
0.0,335.71
0.0,504.481
0.0,663.747
0.0,289.329
0.0,486.393
0.0,554.886
0.0,9.591
0.0,112.116
0.0,205.793
0.0,282.102
0.0,42.232
0.0,185.207
0.0,327.627
0.0,378.577
0.0,465.084
0.0,540.893
0.0,362.801
0.0,471.481
0.0,450.613
0.0,101.046
0.0,31.154
0.0,230.853
0.0,12.024
0.0,149.087
0.0,162.489
0.0,275.061
0.0,462.774
0.0,485.413
0.0,279.79
0.0,465.029
0.0,405.782
0.0,3.963
0.0,153.109
0.0,242.731
0.0,36.988
0.0,31.855
0.0,180.919
0.0,273.778
0.0,420.966
0.0,505.184
0.0,274.275
0.0,450.878
0.0,435.577
